0, 1, 0
0.0174524, 0.999848, 0.002
0.0348995, 0.999391, 0.004
0.052336, 0.99863, 0.006
0.0697565, 0.997564, 0.008
0.0871557, 0.996195, 0.01
0.104528, 0.994522, 0.012
0.121869, 0.992546, 0.014
0.139173, 0.990268, 0.016
0.156434, 0.987688, 0.018
0.173648, 0.984808, 0.02
0.190809, 0.981627, 0.022
0.207912, 0.978148, 0.024
0.224951, 0.97437, 0.026
0.241922, 0.970296, 0.028
0.258819, 0.965926, 0.03
0.275637, 0.961262, 0.032
0.292372, 0.956305, 0.034
0.309017, 0.951057, 0.036
0.325568, 0.945519, 0.038
0.34202, 0.939693, 0.04
0.358368, 0.93358, 0.042
0.374607, 0.927184, 0.044
0.390731, 0.920505, 0.046
0.406737, 0.913545, 0.048
0.422618, 0.906308, 0.05
0.438371, 0.898794, 0.052
0.453991, 0.891007, 0.054
0.469472, 0.882948, 0.056
0.48481, 0.87462, 0.058
0.5, 0.866025, 0.06
0.515038, 0.857167, 0.062
0.529919, 0.848048, 0.064
0.544639, 0.838671, 0.066
0.559193, 0.829038, 0.068
0.573576, 0.819152, 0.07
0.587785, 0.809017, 0.072
0.601815, 0.798636, 0.074
0.615662, 0.788011, 0.076
0.62932, 0.777146, 0.078
0.642788, 0.766044, 0.08
0.656059, 0.75471, 0.082
0.669131, 0.743145, 0.084
0.681998, 0.731354, 0.086
0.694658, 0.71934, 0.088
0.707107, 0.707107, 0.09
0.71934, 0.694658, 0.092
0.731354, 0.681998, 0.094
0.743145, 0.669131, 0.096
0.75471, 0.656059, 0.098
0.766044, 0.642788, 0.1
0.777146, 0.62932, 0.102
0.788011, 0.615662, 0.104
0.798636, 0.601815, 0.106
0.809017, 0.587785, 0.108
0.819152, 0.573576, 0.11
0.829038, 0.559193, 0.112
0.838671, 0.544639, 0.114
0.848048, 0.529919, 0.116
0.857167, 0.515038, 0.118
0.866025, 0.5, 0.12
0.87462, 0.48481, 0.122
0.882948, 0.469472, 0.124
0.891007, 0.453991, 0.126
0.898794, 0.438371, 0.128
